epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.343,1.88896,3.08219,1.70964,0.33627,0.34272,0.27175,0.12956,1.96925,2.51111,1.81894,0.000302596,0.000302596,0.000302596
2,270.543,1.92363,2.36646,1.74014,0.38494,0.30883,0.28371,0.1332,1.88994,2.29791,1.79368,0.000599601,0.000599601,0.000599601
3,387.93,1.8596,2.28416,1.6945,0.38848,0.35368,0.32599,0.15754,1.79863,2.15895,1.71814,0.000890606,0.000890606,0.000890606
4,500.312,1.79774,2.15873,1.6473,0.47049,0.41848,0.42088,0.20717,1.70442,1.92484,1.6205,0.000882003,0.000882003,0.000882003
5,615.087,1.71448,2.00563,1.58971,0.49892,0.46878,0.45058,0.23357,1.6337,1.7537,1.56875,0.000873004,0.000873004,0.000873004
6,728.928,1.65401,1.92151,1.55272,0.52035,0.46879,0.45312,0.24074,1.58547,1.80141,1.52753,0.000864004,0.000864004,0.000864004
7,845.039,1.61243,1.82356,1.52643,0.55,0.4936,0.49603,0.26313,1.54576,1.66289,1.5017,0.000855005,0.000855005,0.000855005
8,960.465,1.58096,1.76099,1.50161,0.60406,0.55226,0.56517,0.31861,1.45464,1.49673,1.45119,0.000846006,0.000846006,0.000846006
9,1075.69,1.54999,1.7126,1.48162,0.59452,0.55273,0.57323,0.32018,1.43301,1.52261,1.42047,0.000837007,0.000837007,0.000837007
10,1191.55,1.50885,1.671,1.46567,0.6203,0.55106,0.57438,0.32784,1.44093,1.45646,1.46396,0.000828008,0.000828008,0.000828008
11,1309.09,1.49747,1.63618,1.44975,0.61073,0.5578,0.59518,0.34495,1.40478,1.4089,1.39609,0.000819009,0.000819009,0.000819009
12,1423.65,1.46354,1.60106,1.41628,0.60136,0.58344,0.60528,0.3483,1.38945,1.41136,1.4142,0.00081001,0.00081001,0.00081001
13,1539.48,1.45633,1.54938,1.41334,0.63657,0.58373,0.62333,0.36563,1.36366,1.3661,1.39188,0.000801011,0.000801011,0.000801011
14,1654.7,1.42396,1.52527,1.40081,0.62229,0.59432,0.61752,0.36532,1.35256,1.40397,1.37921,0.000792012,0.000792012,0.000792012
15,1766.18,1.42657,1.50217,1.40279,0.66187,0.58147,0.64257,0.37892,1.34853,1.30019,1.37872,0.000783013,0.000783013,0.000783013
16,1882.08,1.40624,1.48394,1.39085,0.64783,0.6129,0.63368,0.37249,1.33275,1.32541,1.37141,0.000774013,0.000774013,0.000774013
17,1999.36,1.38295,1.45906,1.37096,0.67786,0.59048,0.6385,0.38148,1.33767,1.3006,1.37221,0.000765014,0.000765014,0.000765014
18,2118.05,1.38959,1.45262,1.37658,0.68911,0.60829,0.66032,0.3984,1.32107,1.26974,1.37102,0.000756015,0.000756015,0.000756015
