epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7086,2.1685,7.64491,1.9017,0.36586,0.19499,0.14843,0.07352,1.96166,3.99762,1.73314,0.000298033,0.000298033,0.000298033
2,37.4603,1.94035,3.31214,1.64818,0.18059,0.2858,0.15259,0.07233,2.15231,3.07146,1.86873,0.000595083,0.000595083,0.000595083
3,51.3237,2.00577,2.88086,1.73656,0.19352,0.3002,0.19364,0.08498,2.08533,2.90772,1.86398,0.000886133,0.000886133,0.000886133
4,65.268,2.02194,2.67225,1.71142,0.27381,0.3286,0.18572,0.08628,2.08725,3.94419,1.85275,0.000882003,0.000882003,0.000882003
5,78.7938,1.93134,2.46174,1.66299,0.28357,0.29526,0.20803,0.10058,2.02912,3.22538,1.8144,0.000873004,0.000873004,0.000873004
6,92.1616,1.93879,2.44474,1.69911,0.29352,0.33656,0.23678,0.11169,1.91978,2.3438,1.74754,0.000864004,0.000864004,0.000864004
7,106.107,1.88244,2.32985,1.63769,0.34854,0.27823,0.23167,0.10928,2.01321,2.62772,1.77049,0.000855005,0.000855005,0.000855005
8,119.994,1.82587,2.24999,1.59105,0.43326,0.28566,0.2755,0.1304,1.91101,2.3898,1.70181,0.000846006,0.000846006,0.000846006
9,133.425,1.83088,2.21139,1.58721,0.38009,0.29447,0.26252,0.12917,1.91838,2.41054,1.68291,0.000837007,0.000837007,0.000837007
10,146.892,1.76575,2.13329,1.531,0.42912,0.35886,0.33011,0.15976,1.8439,2.26771,1.63573,0.000828008,0.000828008,0.000828008
11,160.854,1.77328,2.09556,1.52995,0.4299,0.36504,0.34532,0.16878,1.83093,2.15454,1.65631,0.000819009,0.000819009,0.000819009
12,174.778,1.75359,2.06527,1.54244,0.42,0.39956,0.37471,0.18675,1.76209,2.05122,1.58343,0.00081001,0.00081001,0.00081001
13,189.188,1.77384,2.05326,1.5328,0.44472,0.39477,0.36598,0.18159,1.78814,2.10735,1.61439,0.000801011,0.000801011,0.000801011
14,203.158,1.6937,1.98682,1.49783,0.41393,0.3257,0.29962,0.15231,1.80837,2.33435,1.62229,0.000792012,0.000792012,0.000792012
15,217.147,1.68764,1.95057,1.4817,0.45558,0.39948,0.36498,0.18104,1.73736,2.10184,1.56815,0.000783013,0.000783013,0.000783013
16,231.142,1.69221,1.89736,1.47712,0.47632,0.42308,0.41686,0.21399,1.69634,2.026,1.54059,0.000774013,0.000774013,0.000774013
